"Date","Number Slaughtered ;  CATTLE (excl. calves) ;  Total (State) ;...2","Number Slaughtered ;  CATTLE (excl. calves) ;  New South Wales ;...3","Number Slaughtered ;  CATTLE (excl. calves) ;  Victoria ;...4","Number Slaughtered ;  CATTLE (excl. calves) ;  Queensland ;...5","Number Slaughtered ;  CATTLE (excl. calves) ;  South Australia ;...6","Number Slaughtered ;  CATTLE (excl. calves) ;  Western Australia ;...7","Number Slaughtered ;  CATTLE (excl. calves) ;  Tasmania ;...8","Number Slaughtered ;  CATTLE (excl. calves) ;  Northern Territory ;","Number Slaughtered ;  CATTLE (excl. calves) ;  Australian Capital Territory ;"
1985-06-01,"1650.3","336.3","299","713","100.9","124.3","42.6","29.5","4.7"
1985-09-01,"1513.7","309.5","278.8","607.9","100.9","136.9","28.4","46.8","4.7"
1985-12-01,"1405.1","381.9","336.2","410.5","101.4","110","32.299999999999997","25.9","6.9"
1986-03-01,"1498.7","408.9","350.8","487.9","105.2","93.3","39","6.6","7"
1986-06-01,"1739.2","419.1","333.1","700.2","83.2","108.4","43.5","43.8","7.8"
1986-09-01,"1722.6","371.2","323.39999999999998","714.5","100","122","32.9","51.1","7.4"
1986-12-01,"1650.7","428.5","359.2","545","118.1","123.4","40.1","29.8","6.7"
1987-03-01,"1599.9","455.9","361","502.7","109.8","112.7","46.2","4.8","6.6"
1987-06-01,"1790.2","455.3","330.7","692.3","102.3","111.4","53.5","37.200000000000003","7.5"
1987-09-01,"1733","432.1","285.89999999999998","686.7","94.3","129.6","36.799999999999997","60.4","7.1"
1987-12-01,"1737.3","495.2","350.2","559.9","118.1","130.19999999999999","41.2","34.700000000000003","8.1"
1988-03-01,"1761.9","528.6","380.4","547.79999999999995","121.1","116.8","53.6","5.4","8.3000000000000007"
1988-06-01,"1694.8","391.5","319.89999999999998","686.2","91.5","105.1","50.3","42.8","7.5"
1988-09-01,"1670.7","408.8","302","643.79999999999995","78.599999999999994","125.3","31.2","73.099999999999994","7.8"
1988-12-01,"1569.1","422.9","344","502.2","109.8","114.1","37.6","30.9","7.6"
1989-03-01,"1436.8","405.1","331.6","440","106.5","100.6","40.1","4.4000000000000004","8.5"
1989-06-01,"1594.7","405.5","322","576.1","89.8","106.7","52.3","33.799999999999997","8.3000000000000007"
1989-09-01,"1747","427.5","329","641.6","107.1","136.19999999999999","41","57.2","7.4"
1989-12-01,"1732.4","485.8","347.1","568.79999999999995","111","131.19999999999999","42.7","36.200000000000003","9.6"
1990-03-01,"1713","525.20000000000005","341.7","548.5","114","116.6","51.5","5.9","9.6"
1990-06-01,"1753.1","461","392.1","575.20000000000005","100.8","110.6","56.6","49","7.8"
1990-09-01,"1870.5","455.3","364.8","704","98.7","129.69999999999999","35.799999999999997","74","8.1999999999999993"
1990-12-01,"1868.8","518.79999999999995","418.8","644.9","96.6","114.5","41.4","25.2","8.6"
1991-03-01,"1643.3","466.2","423.5","481.9","100.1","105.8","55.9","2.8","7"
1991-06-01,"1966.3","524.70000000000005","406.3","741.2","90.9","90.5","58.2","45.8","8.6999999999999993"
1991-09-01,"1891.2","470.3","313.3","810.4","82.6","110.6","34.4","64.7","4.8"
1991-12-01,"1884.3","524.9","408.5","648.20000000000005","115.9","116.3","45.4","17.399999999999999","7.7"
1992-03-01,"1858.7","525.29999999999995","467.7","585.29999999999995","105","106","57.6","3.7","8"
1992-06-01,"2015.8","557","397.9","755.5","92.3","90.9","60.9","52.9","8.3000000000000007"
1992-09-01,"1945.9","516.9","316.89999999999998","804.4","90.1","120.3","35.1","54.6","7.7"
1992-12-01,"1892.9","505.9","381.9","698.6","115.8","126.4","45.5","11.8","6.9"
1993-03-01,"1707.8","493.7","344.1","576.1","107.5","120.3","54.1","3.6","8.3000000000000007"
1993-06-01,"1896.1","541.6","323","772.4","94.9","85.4","54.7","14.1","10"
1993-09-01,"1922.6","522.9","301","806.3","99.8","117.3","38.200000000000003","27.6","9.6"
1993-12-01,"1826.6","497.3","360","669.3","107.7","123.7","47.2","11.6","9.8000000000000007"
1994-03-01,"1721.7","483.2","370.4","597.4","102.3","109.2","48.9","1.1000000000000001","9.4"
1994-06-01,"1819.2","484.6","362.6","708.8","90.6","88.7","52.7","21.8","9.5"
1994-09-01,"1904.9","525","333.6","796.6","79","100","34.1","26.5","10.1"
1994-12-01,"1853.1","537.6","383.7","627.79999999999995","112.6","126","50.4","4.9000000000000004","10.1"
1995-03-01,"1617.9","477.1","366.1","461.9","126","114.3","62.1","0.4","10"
1995-06-01,"1844.2","509.4","383.9","671.4","106.7","90.2","61.3","11.1","10.199999999999999"
1995-09-01,"1757.3","477.6","335.1","702.2","83.2","91.7","33.9","23.5","10.1"
1995-12-01,"1695","460.1","400.9","540.6","106.3","115.3","46.2","15.3","10.199999999999999"
